Date,PnL Points,Lot Size,Pnl
16-11-2017,42.2158,25,1055.39
17-11-2017,-103.8144,25,-2595.36
21-11-2017,42.9,25,1072.50
23-11-2017,-102.6093264,25,-2565.23
27-11-2017,160.6,25,4015.00
30-11-2017,239.2,25,5980.00
06-12-2017,49.0534,25,1226.33
12-12-2017,35.1,25,877.50
13-12-2017,-99.8582,25,-2496.45
15-12-2017,-47.1,25,-1177.50
18-12-2017,372.7,25,9317.50
27-12-2017,45.4804,25,1137.01
04-01-2018,-8.962,25,-224.05
10-01-2018,-21.7935,25,-544.84
15-01-2018,112.6349,25,2815.87
17-01-2018,133.8218,25,3345.54
18-01-2018,-106.9242,25,-2673.11
19-01-2018,100.6043,25,2515.11
23-01-2018,215.8514,25,5396.28
25-01-2018,-108.7258156,25,-2718.15
31-01-2018,-55.0905,25,-1377.26
01-02-2018,-108.6788892,25,-2716.97
02-02-2018,-106.8496548,25,-2671.24
05-02-2018,20.1,25,502.50
06-02-2018,-101.54,25,-2538.50
08-02-2018,-104.1601176,25,-2604.00
09-02-2018,-102.3804,25,-2559.51
14-02-2018,80.7308,25,2018.27
16-02-2018,-17.4106,25,-435.26
23-02-2018,138.5862,25,3464.65
26-02-2018,16.2886,25,407.21
27-02-2018,27.4305,25,685.76
28-02-2018,-24.85,25,-621.25
06-03-2018,469.35,25,11733.75
08-03-2018,-1.9013,25,-47.53
12-03-2018,198.4705,25,4961.76
19-03-2018,42.3381,25,1058.45
21-03-2018,-98.0795408,25,-2451.99
23-03-2018,24.9,25,622.50
26-03-2018,428.1259,25,10703.15
28-03-2018,-96.9124348,25,-2422.81
04-04-2018,204.9037,25,5122.59
05-04-2018,257.4755,25,6436.89
11-04-2018,-100.1365692,25,-2503.41
20-04-2018,-33.2,25,-830.00
25-04-2018,-99.421538,25,-2485.54
27-04-2018,135.0174,25,3375.44
07-05-2018,-14.6616,25,-366.54
08-05-2018,-104.2225068,25,-2605.56
09-05-2018,-12.1131,25,-302.83
11-05-2018,136.0009,25,3400.02
15-05-2018,-106.8010056,25,-2670.03
18-05-2018,-32.0001,25,-800.00
23-05-2018,67.359,25,1683.97
24-05-2018,152.7069,25,3817.67
25-05-2018,-60.4806,25,-1512.01
28-05-2018,-26.414,25,-660.35
29-05-2018,-1.3078,25,-32.69
31-05-2018,255.9092,25,6397.73
04-06-2018,149.352,25,3733.80
07-06-2018,-64.3645,25,-1609.11
11-06-2018,-106.4533364,25,-2661.33
14-06-2018,-106.1019692,25,-2652.55
15-06-2018,18.2864,25,457.16
19-06-2018,-8.8102,25,-220.25
20-06-2018,200.5205,25,5013.01
22-06-2018,93.9725,25,2349.31
25-06-2018,-106.892,25,-2672.30
27-06-2018,8.2941,25,207.35
28-06-2018,-104.8542764,25,-2621.36
02-07-2018,-104.6476316,25,-2616.19
04-07-2018,9.0645,25,226.61
09-07-2018,61.7,25,1542.50
10-07-2018,43.15,25,1078.75
12-07-2018,-21.7,25,-542.50
16-07-2018,44.4403,25,1111.01
17-07-2018,123.208,25,3080.20
26-07-2018,202.9016,25,5072.54
